genotype,background,temperature,fluctuation,day.length,vernalization,survival.bolt,bolt,days.to.bolt,days.to.flower,rosette.leaf.num,cauline.leaf.num,blade.length.mm,total.leaf.length.mm,blade.ratio
ld-1,Col,12,Var,16,NV,Y,Y,64,80,54,8,25.7,41.2,0.623786408
ld-1,Col,12,Var,16,NV,Y,Y,66,81,40,8,22.2,35,0.634285714
ld-1,Col,12,Var,8,NV,Y,Y,97,119,73,9,30.6,47.3,0.646934461
ld-1,Col,12,Var,8,NV,Y,Y,101,132,66,8,21.5,34.2,0.628654971
ld-1,Col,12,Var,8,NV,Y,Y,102,123,67,7,32.1,51,0.629411765
ld-1,Col,12,Var,8,NV,Y,Y,103,123,62,9,20.2,34,0.594117647
ld-1,Col,12,Var,8,NV,Y,Y,103,125,59,10,21.3,36.9,0.577235772
ld-1,Col,12,Var,8,NV,Y,Y,109,131,65,9,26.7,43,0.620930233
ld-1,Col,12,Var,8,NV,Y,Y,110,131,64,9,29.1,45.1,0.645232816
ld-1,Col,12,Var,8,NV,Y,Y,112,133,63,9,26.3,40,0.6575
ld-1,Col,22,Con,16,NV,Y,Y,39,44,28,6,22.6,34.8,0.649425287
ld-1,Col,22,Con,16,NV,Y,Y,39,43,25,6,20.5,31.8,0.644654088
ld-1,Col,22,Con,16,NV,Y,Y,45,52,36,8,NA,NA,NA
ld-1,Col,22,Con,16,NV,Y,Y,48,52,30,4,21.8,34.9,0.624641834
ld-1,Col,22,Con,16,NV,Y,Y,57,62,42,8,NA,NA,NA
ld-1,Col,22,Con,16,NV,Y,Y,61,69,45,10,NA,NA,NA
ld-1,Col,22,Con,16,NV,Y,Y,62,68,37,8,NA,NA,NA
ld-1,Col,22,Con,16,NV,Y,Y,74,81,24,8,25.5,39.7,0.64231738
ld-1,Col,22,Con,8,NV,Y,Y,143,153,NA,NA,NA,NA,NA
ld-1,Col,22,Con,8,NV,Y,Y,151,159,NA,NA,NA,NA,NA
ld-1,Col,22,Con,8,NV,Y,N,162,NA,NA,NA,NA,NA,NA
ld-1,Col,22,Con,8,NV,Y,N,162,NA,NA,NA,NA,NA,NA
ld-1,Col,22,Con,8,NV,Y,N,162,NA,NA,NA,NA,NA,NA
ld-1,Col,22,Con,8,NV,Y,N,162,NA,NA,NA,NA,NA,NA
ld-1,Col,22,Con,8,NV,Y,N,162,NA,NA,NA,NA,NA,NA
ld-1,Col,22,Con,8,NV,Y,N,162,NA,NA,NA,NA,NA,NA
ld-1,Col,22,Var,16,NV,Y,Y,44,52,28,4,26.9,41.6,0.646634615
ld-1,Col,22,Var,16,NV,Y,Y,44,53,32,4,31.3,50.2,0.623505976
ld-1,Col,22,Var,16,NV,Y,Y,45,53,28,4,NA,NA,NA
ld-1,Col,22,Var,16,NV,Y,Y,51,56,33,6,28.2,50,0.564
ld-1,Col,22,Var,16,NV,Y,Y,51,58,37,6,22.8,45.4,0.502202643
ld-1,Col,22,Var,16,NV,Y,Y,53,60,38,6,NA,NA,NA
ld-1,Col,22,Var,16,NV,Y,Y,53,61,36,7,NA,NA,NA
ld-1,Col,22,Var,16,NV,Y,Y,56,64,40,10,NA,NA,NA
ld-1,Col,22,Var,8,NV,Y,Y,113,NA,NA,NA,NA,NA,NA
ld-1,Col,22,Var,8,NV,Y,Y,123,NA,NA,NA,NA,NA,NA
ld-1,Col,22,Var,8,NV,Y,Y,130,145,NA,NA,NA,NA,NA
ld-1,Col,22,Var,8,NV,Y,Y,147,NA,NA,NA,NA,NA,NA
Ler-1,Ler,12,Con,16,NV,Y,Y,29,46,9,4,10.4,12.9,0.80620155
Ler-1,Ler,12,Con,16,NV,Y,Y,29,45,13,4,8.2,14.4,0.569444444
Ler-1,Ler,12,Con,16,NV,Y,Y,29,44,11,4,13.6,17,0.8
Ler-1,Ler,12,Con,16,NV,Y,Y,31,44,13,4,16.4,23.1,0.70995671
Ler-1,Ler,12,Con,16,NV,Y,Y,32,48,11,4,12.6,18.3,0.68852459
Ler-1,Ler,12,Con,16,NV,Y,Y,33,47,11,4,15.8,21.6,0.731481481
Ler-1,Ler,12,Con,16,NV,Y,Y,33,47,9,4,13.1,17.5,0.748571429
Ler-1,Ler,12,Con,16,NV,Y,Y,34,46,14,4,14.6,19.7,0.741116751
Ler-1,Ler,12,Con,8,NV,Y,Y,57,78,30,10,17.4,26.8,0.649253731
Ler-1,Ler,12,Con,8,NV,Y,Y,57,78,31,11,18.6,29.9,0.622073579
Ler-1,Ler,12,Con,8,NV,Y,Y,57,79,30,11,16.2,25,0.648
Ler-1,Ler,12,Con,8,NV,Y,Y,66,88,37,8,24.6,34.2,0.719298246
Ler-1,Ler,12,Con,8,NV,Y,Y,72,96,36,10,24,34.9,0.687679083
Ler-1,Ler,12,Con,8,NV,Y,Y,75,98,43,9,21.1,32.8,0.643292683
Ler-1,Ler,12,Con,8,NV,Y,Y,77,101,35,10,26.6,40,0.665
Ler-1,Ler,12,Con,8,NV,Y,Y,92,116,39,10,39.7,55.1,0.720508167
Ler-1,Ler,12,Var,16,NV,Y,Y,32,46,14,4,14.5,19.8,0.732323232
Ler-1,Ler,12,Var,16,NV,Y,Y,33,44,14,4,16.7,24.1,0.692946058
Ler-1,Ler,12,Var,16,NV,Y,Y,33,46,14,3,16.7,23.8,0.701680672
Ler-1,Ler,12,Var,16,NV,Y,Y,33,46,13,3,14,20.9,0.669856459
Ler-1,Ler,12,Var,16,NV,Y,Y,33,46,10,4,18.8,27.2,0.691176471
Ler-1,Ler,12,Var,16,NV,Y,Y,34,47,12,4,17.6,26.8,0.656716418
Ler-1,Ler,12,Var,16,NV,Y,Y,34,48,12,5,17.1,26.9,0.635687732
Ler-1,Ler,12,Var,16,NV,Y,Y,34,50,12,4,15.8,23.6,0.669491525
Ler-1,Ler,12,Var,8,NV,Y,Y,60,80,32,10,24.2,32.6,0.742331288
Ler-1,Ler,12,Var,8,NV,Y,Y,61,81,30,11,17.6,24.8,0.709677419
Ler-1,Ler,12,Var,8,NV,Y,Y,62,80,42,12,21.8,34.8,0.626436782
Ler-1,Ler,12,Var,8,NV,Y,Y,63,88,30,11,20.9,31.6,0.661392405
Ler-1,Ler,12,Var,8,NV,Y,Y,63,87,30,12,19.7,34.6,0.569364162
Ler-1,Ler,12,Var,8,NV,Y,Y,65,90,29,11,28.9,39.7,0.727959698
Ler-1,Ler,12,Var,8,NV,Y,Y,65,83,36,10,38.2,51.6,0.740310078
Ler-1,Ler,12,Var,8,NV,Y,Y,68,93,31,11,21.4,36,0.594444444
Ler-1,Ler,22,Con,16,NV,Y,Y,18,25,7,3,NA,11.2,0
Ler-1,Ler,22,Con,16,NV,Y,Y,18,24,7,2,NA,11.1,0
Ler-1,Ler,22,Con,16,NV,Y,Y,19,24,7,3,10.8,13.3,0.812030075
Ler-1,Ler,22,Con,16,NV,Y,Y,19,25,6,3,9.6,10.9,0.880733945
Ler-1,Ler,22,Con,16,NV,Y,Y,19,26,9,2,NA,NA,NA
Ler-1,Ler,22,Con,16,NV,Y,Y,19,26,8,2,NA,NA,NA
Ler-1,Ler,22,Con,16,NV,Y,Y,20,26,8,3,NA,NA,NA
Ler-1,Ler,22,Con,16,NV,Y,Y,20,26,8,2,NA,NA,NA
Ler-1,Ler,22,Con,8,NV,Y,Y,48,59,24,10,NA,NA,NA
Ler-1,Ler,22,Con,8,NV,Y,Y,48,57,23,8,NA,NA,NA
Ler-1,Ler,22,Con,8,NV,Y,Y,48,56,21,4,NA,NA,NA
Ler-1,Ler,22,Con,8,NV,Y,Y,50,60,26,8,NA,NA,NA
Ler-1,Ler,22,Con,8,NV,Y,Y,52,60,29,7,NA,NA,NA
Ler-1,Ler,22,Con,8,NV,Y,Y,54,64,24,9,NA,NA,NA
Ler-1,Ler,22,Con,8,NV,Y,Y,54,63,27,8,NA,NA,NA
Ler-1,Ler,22,Con,8,NV,Y,Y,55,64,30,8,26.2,42.6,0.615023474
Ler-1,Ler,22,Con,8,NV,Y,Y,56,64,25,8,NA,NA,NA
Ler-1,Ler,22,Con,8,NV,Y,Y,57,65,30,11,35.2,50.4,0.698412698
Ler-1,Ler,22,Con,8,NV,Y,Y,58,65,33,10,27.7,42.1,0.657957245
Ler-1,Ler,22,Con,8,NV,Y,Y,62,69,31,9,31.6,41.9,0.754176611
Ler-1,Ler,22,Var,16,NV,Y,Y,19,27,6,2,8.4,11.4,0.736842105
Ler-1,Ler,22,Var,16,NV,Y,Y,19,26,6,3,7.6,11.5,0.660869565
Ler-1,Ler,22,Var,16,NV,Y,Y,19,26,5,2,7.1,10.2,0.696078431
Ler-1,Ler,22,Var,16,NV,Y,Y,20,27,7,3,NA,NA,NA
Ler-1,Ler,22,Var,16,NV,Y,Y,21,28,7,2,8.9,13,0.684615385
Ler-1,Ler,22,Var,16,NV,Y,Y,21,27,8,2,NA,NA,NA
Ler-1,Ler,22,Var,16,NV,Y,Y,22,29,6,2,NA,NA,NA
Ler-1,Ler,22,Var,16,NV,Y,Y,22,28,6,2,NA,NA,NA
Ler-1,Ler,22,Var,8,NV,Y,Y,35,46,10,3,11,26.3,0.418250951
Ler-1,Ler,22,Var,8,NV,Y,Y,36,56,10,4,11.3,27.3,0.413919414
Ler-1,Ler,22,Var,8,NV,Y,Y,36,58,11,3,13.1,29.4,0.445578231
Ler-1,Ler,22,Var,8,NV,Y,Y,36,87,8,3,NA,NA,NA
Ler-1,Ler,22,Var,8,NV,Y,Y,38,58,10,3,11.8,29.2,0.404109589
Ler-1,Ler,22,Var,8,NV,Y,Y,38,52,10,4,NA,NA,NA
Ler-1,Ler,22,Var,8,NV,Y,Y,43,51,13,3,NA,NA,NA
Ler-1,Ler,22,Var,8,NV,Y,Y,46,54,16,4,NA,NA,NA
prmt5 FRI,Col FRI,12,Con,16,NV,Y,Y,80,98,79,10,16.8,29.3,0.57337884
prmt5 FRI,Col FRI,12,Con,16,NV,Y,Y,82,100,84,10,25.9,34.3,0.755102041
prmt5 FRI,Col FRI,12,Con,16,NV,Y,Y,83,102,64,9,19.7,32.6,0.604294479
prmt5 FRI,Col FRI,12,Con,16,NV,Y,Y,83,102,72,10,20.7,32.2,0.642857143
prmt5 FRI,Col FRI,12,Con,16,NV,Y,Y,83,102,64,8,18.3,33.6,0.544642857
prmt5 FRI,Col FRI,12,Con,16,NV,Y,Y,84,100,77,9,19.7,30.4,0.648026316
prmt5 FRI,Col FRI,12,Con,16,NV,Y,Y,87,102,78,9,20.83,32.4,0.642901235
prmt5 FRI,Col FRI,12,Con,16,NV,Y,Y,88,106,73,9,18.4,28.9,0.636678201
